application_id,fraud_type,difficulty_level,generated_signal_score
APP-FDEEDE399FAA,legitimate_clean,easy,0.091
APP-224E24600F93,legitimate_noisy,medium,0.204
APP-72E83E8FBC5D,legitimate_noisy,medium,0.077
APP-8D9F018E48EB,synthetic_identity,easy,0.738
APP-FBD385D1A703,legitimate_noisy,hard,0.396
APP-21DDFCD99A61,legitimate_clean,easy,0.084
APP-BE40B43B6868,legitimate_clean,medium,0.077
APP-CE7251A825D9,legitimate_noisy,easy,0.0
APP-7AC630D8C3BA,legitimate_noisy,hard,0.199
APP-03398693F5CF,coordinated_attack,easy,0.885
APP-F45AB2D9DDDA,legitimate_noisy,medium,0.216
APP-F164E52CD4CD,synthetic_identity,hard,0.506
APP-8C9B71FD7904,legitimate_clean,easy,0.066
APP-8FFA89E48D61,legitimate_clean,medium,0.081
APP-C1B49D15956C,legitimate_noisy,medium,0.383
APP-65B456D3E5D2,legitimate_clean,easy,0.0
APP-C987AC943ECE,legitimate_clean,easy,0.065
APP-C362D1A318E5,legitimate_clean,easy,0.053
APP-D5AF6F083732,legitimate_noisy,hard,0.26
APP-5482F98AC39B,true_name_fraud,medium,0.443
APP-ED40BBEC0914,coordinated_attack,medium,0.688
APP-BA436CF30A1F,legitimate_clean,easy,0.077
APP-968C48EB8082,legitimate_clean,easy,0.044
APP-A77E999BAF13,legitimate_clean,easy,0.109
APP-8AF3CC81484C,legitimate_clean,easy,0.0
APP-7798978864CB,legitimate_noisy,easy,0.255
APP-2A791F267E8E,legitimate_clean,easy,0.057
APP-83C12E400B0F,legitimate_clean,easy,0.07
APP-BC7A558098B5,legitimate_clean,easy,0.017
APP-910B2EF5386E,legitimate_clean,easy,0.054
APP-0601356405E8,legitimate_clean,medium,0.037
APP-EC70B04C6C62,legitimate_clean,medium,0.057
APP-427CA52D7901,legitimate_noisy,hard,0.281
APP-B514BF630EEA,legitimate_clean,medium,0.22
APP-FCCB97AA6A42,legitimate_clean,medium,0.002
APP-7402B2B036C9,legitimate_clean,easy,0.061
APP-63A2A5ED20CB,legitimate_clean,easy,0.018
APP-80C9C2DAF626,legitimate_clean,medium,0.028
APP-8DBA2E63E403,legitimate_clean,medium,0.0
APP-6639BD9E5549,legitimate_clean,easy,0.094
APP-E50857272073,legitimate_clean,easy,0.086
APP-2AC00A3C38A4,legitimate_clean,hard,0.114
APP-3AC4999F81F2,legitimate_clean,easy,0.089
APP-A2CCAA795888,legitimate_noisy,hard,0.275
APP-DA84930EF6CF,legitimate_clean,easy,0.017
APP-B67BC3D75DAD,legitimate_clean,easy,0.038
APP-B71403157476,legitimate_clean,medium,0.041
APP-49D674F814A8,synthetic_identity,medium,0.518
APP-1AF72F5805E1,legitimate_clean,easy,0.0
APP-80FCAE742D5F,legitimate_clean,easy,0.0
APP-859A931A9CF3,legitimate_clean,easy,0.03
APP-FCE9E503F445,legitimate_clean,easy,0.074
APP-5F7E38A88F38,legitimate_noisy,hard,0.152
APP-318AFD92E1B9,legitimate_noisy,medium,0.151
APP-C96559ED9D03,legitimate_noisy,medium,0.23
APP-74E7909C2D8A,legitimate_clean,medium,0.068
APP-CAC506D266B4,legitimate_clean,easy,0.047
APP-4416E5347074,legitimate_clean,easy,0.0
APP-40149D3EA2CD,legitimate_noisy,hard,0.237
APP-5843660846B6,legitimate_noisy,medium,0.104
APP-16A3C427983D,true_name_fraud,hard,0.269
APP-28BA19E2FCDA,legitimate_clean,easy,0.046
APP-7DD2EF641FC6,legitimate_clean,medium,0.056
APP-33487047089B,legitimate_clean,easy,0.188
APP-321BA9747E65,legitimate_clean,easy,0.083
APP-81C7B0BE35E4,legitimate_noisy,hard,0.178
APP-BF29FC68B9F5,legitimate_noisy,hard,0.208
APP-B18F61BA512B,legitimate_noisy,hard,0.236
APP-FF46556C3C17,legitimate_clean,easy,0.129
APP-0E4292C06163,legitimate_clean,easy,0.048
APP-4997A21C23C8,legitimate_noisy,easy,0.151
APP-2959E07C78E7,legitimate_clean,easy,0.003
APP-4E9FD141F1D8,legitimate_clean,easy,0.0
APP-843516625F7D,legitimate_clean,medium,0.213
APP-F92EC2D9D3FA,legitimate_clean,easy,0.026
APP-3E5C4793699B,legitimate_noisy,medium,0.231
APP-29967EE19096,legitimate_clean,easy,0.038
APP-60103EE4C281,legitimate_clean,medium,0.0
APP-E13DD6A0A485,legitimate_clean,easy,0.096
APP-5CC4E5DF6415,legitimate_noisy,medium,0.392
APP-C5EA8F65F311,legitimate_clean,hard,0.177
APP-BEB0F667A245,legitimate_noisy,hard,0.164
APP-46C6AF292285,legitimate_clean,easy,0.19
APP-106A3C5AA2DF,true_name_fraud,medium,0.455
APP-7C2D547E0E49,legitimate_clean,medium,0.095
APP-B732AFC16C8A,legitimate_noisy,medium,0.409
APP-023992346B12,legitimate_clean,easy,0.097
APP-4C627F1896CC,legitimate_clean,easy,0.065
APP-2A6F26EA8CF3,legitimate_clean,easy,0.116
APP-D1BBBE33D0F5,synthetic_identity,easy,0.978
APP-1B8BAF0345ED,legitimate_clean,medium,0.099
APP-6764B2E6AE53,legitimate_clean,easy,0.063
APP-F56784443400,legitimate_clean,easy,0.092
APP-F93B472654E0,legitimate_clean,easy,0.0
APP-DB3E46F58ABE,legitimate_clean,easy,0.027
APP-C16B82CBDFA8,legitimate_clean,easy,0.012
APP-902D11BBBC83,legitimate_clean,easy,0.08
APP-AA139FA3043C,legitimate_clean,easy,0.195
APP-415EB0567DC5,legitimate_noisy,hard,0.348
APP-BB46B44DFBE1,legitimate_clean,hard,0.027
APP-C9E5AD6D055A,synthetic_identity,easy,0.736
APP-6E107E8F8DAE,legitimate_clean,easy,0.117
APP-661A9CDFA629,legitimate_clean,hard,0.09
APP-3D56820E47FA,legitimate_clean,medium,0.037
APP-8D5E290F793A,legitimate_clean,easy,0.055
APP-B8E3636EF1D1,legitimate_clean,easy,0.107
APP-61B03E1C3656,coordinated_attack,hard,0.649
APP-09C8AE6F24E9,legitimate_clean,easy,0.009
APP-5A60D86A17DB,legitimate_clean,easy,0.036
APP-0611B7518AB1,legitimate_noisy,easy,0.308
APP-8BAEBA99B636,legitimate_noisy,hard,0.143
APP-12BFE3F2EFEF,legitimate_clean,medium,0.029
APP-16C7E00460B9,legitimate_clean,easy,0.03
APP-7F8F140AD45F,legitimate_clean,easy,0.002
APP-4EA7CE4C79D7,legitimate_clean,easy,0.139
APP-1817EE1AD981,legitimate_clean,easy,0.027
APP-E0F3247E8888,true_name_fraud,hard,0.219
APP-B6FDE033B0D6,true_name_fraud,easy,0.523
APP-54F7C58FEBA7,legitimate_noisy,medium,0.424
APP-FEF15713133F,legitimate_clean,medium,0.057
APP-56FF34426247,legitimate_clean,easy,0.207
APP-522943774643,legitimate_clean,easy,0.011
APP-54E1BADDFD1F,legitimate_clean,easy,0.097
APP-8E6C9085FEA8,legitimate_noisy,easy,0.132
APP-CFE544EEF167,legitimate_clean,easy,0.025
APP-533029C08355,legitimate_clean,easy,0.0
APP-9E3F25C1B226,legitimate_clean,medium,0.0
APP-2C2AC2F9B5A2,legitimate_clean,easy,0.0
APP-CB6F371B2630,legitimate_clean,medium,0.024
APP-B966960891E5,legitimate_clean,easy,0.027
APP-B0F7B6DE6319,synthetic_identity,medium,0.571
APP-741A6C5BEDDD,legitimate_clean,medium,0.119
APP-300823C03033,legitimate_clean,easy,0.066
APP-AC9EFE3BEAF6,legitimate_clean,easy,0.0
APP-421B7C271408,legitimate_clean,easy,0.094
APP-EBBD734C657F,legitimate_clean,easy,0.051
APP-31A5EE55C14C,legitimate_clean,easy,0.049
APP-02592128FBFF,legitimate_clean,easy,0.19
APP-A6164C0192F6,legitimate_clean,medium,0.025
APP-3D3ACE7D43EB,coordinated_attack,medium,0.879
APP-4EBEA8A88EBA,legitimate_clean,easy,0.044
APP-3151E5512CE1,legitimate_clean,easy,0.135
APP-9AD88A7C219C,legitimate_clean,easy,0.141
APP-A0DB0502FB64,legitimate_clean,easy,0.017
APP-5F83DF9CCD39,legitimate_clean,medium,0.076
APP-CB312ABDDB62,legitimate_noisy,medium,0.367
APP-598566698D25,legitimate_clean,easy,0.014
APP-B05FACD03DFF,synthetic_identity,medium,0.593
APP-15E0C3C6BF69,synthetic_identity,hard,0.234
APP-A8AFBF3CDD1F,legitimate_clean,medium,0.088
APP-49B1E9D9E3E5,legitimate_clean,easy,0.113
APP-1A8A618AC568,legitimate_clean,easy,0.121
APP-F299D5E95FC8,legitimate_noisy,medium,0.046
APP-D32E6C441BB2,legitimate_clean,easy,0.077
APP-FAC601196884,legitimate_clean,easy,0.078
APP-FABCC6B9DD61,legitimate_clean,medium,0.002
APP-CD10B57DA34B,legitimate_clean,easy,0.11
APP-7B0500FC0E49,legitimate_clean,easy,0.119
APP-BABDF877C3F0,legitimate_clean,medium,0.0
APP-DCF2E58D5ACD,legitimate_clean,medium,0.0
APP-5759B11DA0DC,legitimate_clean,easy,0.097
APP-233ECDC89C36,legitimate_clean,easy,0.0
APP-CA727C501DF5,legitimate_clean,easy,0.0
APP-D8D02611FED1,legitimate_clean,medium,0.004
APP-CC5FE9EE8921,legitimate_clean,easy,0.017
APP-9C14FD7B7AD1,legitimate_noisy,medium,0.102
APP-F0DCF2F2D854,legitimate_clean,easy,0.036
APP-98EAB4386A5F,legitimate_clean,easy,0.041
APP-5EB76B7C44A4,legitimate_clean,easy,0.119
APP-0D7AF12B0A8E,legitimate_clean,easy,0.092
APP-186644E2D266,legitimate_clean,easy,0.007
APP-C23429C45A7D,legitimate_clean,medium,0.09
APP-8F53DD202A5D,synthetic_identity,medium,0.678
APP-5C8F26768CCF,true_name_fraud,hard,0.32
APP-26D25A6186CB,legitimate_clean,easy,0.004
APP-87B4F6FE873C,legitimate_clean,medium,0.011
APP-93662F560ABC,legitimate_clean,easy,0.0
APP-02B2029E8961,legitimate_clean,easy,0.03
APP-BFEA3C9D4F45,legitimate_noisy,hard,0.377
APP-5F77328CAD09,legitimate_clean,medium,0.227
APP-A40374BE3EB5,coordinated_attack,hard,0.605
APP-642AE9031607,legitimate_clean,easy,0.054
APP-874D43A6BB2B,legitimate_clean,easy,0.0
APP-342D2976356D,legitimate_clean,easy,0.085
APP-27943B92E9CD,legitimate_clean,medium,0.182
APP-C612AC1A3675,true_name_fraud,hard,0.216
APP-71BE856269FA,legitimate_noisy,hard,0.11
APP-1D03636FF808,true_name_fraud,easy,0.569
APP-5A7CB09416F2,legitimate_noisy,medium,0.163
APP-A58B855B0A1F,legitimate_clean,hard,0.14
APP-DAA00F7615C5,legitimate_clean,easy,0.012
APP-BCBA08B025EE,legitimate_clean,easy,0.067
APP-0CB58F5044CF,legitimate_clean,easy,0.022
APP-F9724834AC3D,legitimate_clean,easy,0.074
APP-A102AA202F97,legitimate_clean,easy,0.138
APP-2C3D00A76270,legitimate_noisy,medium,0.14
APP-D76A7747A737,legitimate_noisy,hard,0.0
APP-879DE9732632,legitimate_noisy,hard,0.206
APP-4980466E76B5,legitimate_clean,medium,0.014
APP-C6E5511BB8AD,legitimate_noisy,hard,0.193
APP-E320B261F30E,legitimate_clean,medium,0.113
APP-5EEC360386C6,legitimate_clean,easy,0.087
APP-1F90F18BD5B2,legitimate_clean,medium,0.091
APP-E1CAC064A747,legitimate_clean,medium,0.062
APP-E3116B9B5E3D,legitimate_clean,easy,0.024
APP-94ABB621B9A3,legitimate_noisy,medium,0.3
APP-11883E60942B,legitimate_clean,medium,0.029
APP-8F9E418FB78D,legitimate_noisy,hard,0.171
APP-E66385749BFF,legitimate_noisy,hard,0.062
APP-0EF287B4F23E,legitimate_clean,medium,0.176
APP-9116A5E10CF9,legitimate_clean,medium,0.038
APP-C1F3C30F6AE6,legitimate_noisy,hard,0.062
APP-A05BD6A88007,legitimate_noisy,hard,0.217
APP-3AA64CC5706C,true_name_fraud,hard,0.329
APP-EADDEA1F52DA,legitimate_clean,easy,0.066
APP-596F8A340594,legitimate_clean,medium,0.003
APP-FDC51048C5DB,legitimate_clean,easy,0.045
APP-EA5502C58D3B,legitimate_clean,easy,0.074
APP-EE883FD597CB,legitimate_noisy,medium,0.031
APP-057BE72AC833,legitimate_clean,easy,0.101
APP-65134F7A6563,legitimate_clean,easy,0.079
APP-D7191B67518D,true_name_fraud,medium,0.386
APP-C46BD1ED8F0B,legitimate_clean,easy,0.0
APP-F264F709FED8,legitimate_clean,medium,0.042
APP-2E047A8E26E4,legitimate_clean,hard,0.0
APP-9719162583FB,legitimate_clean,easy,0.023
APP-2A67E582A392,legitimate_clean,easy,0.017
APP-7DB2813B68C3,legitimate_clean,easy,0.0
APP-11820EF1A917,legitimate_clean,easy,0.092
APP-63F641031E5E,legitimate_noisy,hard,0.045
APP-D6C1067A2EBF,legitimate_clean,easy,0.014
APP-1255B34F2CB3,legitimate_clean,hard,0.0
APP-19C1786B23A7,legitimate_clean,easy,0.121
APP-8782A610A841,legitimate_clean,easy,0.01
APP-B7F6E08DDBF8,legitimate_clean,medium,0.042
APP-310D4BD37AD2,legitimate_clean,easy,0.022
APP-1B155F6D188D,synthetic_identity,hard,0.488
APP-61E2EF595443,legitimate_noisy,easy,0.322
APP-38025A56179E,legitimate_noisy,hard,0.0
APP-E974342B0BEA,legitimate_clean,medium,0.0
APP-5AF60D1AD568,legitimate_clean,easy,0.032
APP-42F9A4C372C2,legitimate_clean,hard,0.079
APP-2F4618F0DACD,legitimate_noisy,hard,0.1
APP-40825E087F21,legitimate_clean,easy,0.103
APP-98472EDA67FD,legitimate_clean,easy,0.043
APP-484E5594D08E,legitimate_clean,easy,0.08
APP-9583DAF71830,legitimate_noisy,easy,0.246
APP-C5EE1414705A,legitimate_noisy,hard,0.248
APP-49E5C383D5A7,legitimate_noisy,medium,0.247
APP-92819788F52A,legitimate_clean,easy,0.063
APP-C65D16C85BC7,legitimate_clean,medium,0.048
APP-A781ACAD492D,legitimate_clean,medium,0.036
APP-3B9842189760,legitimate_clean,easy,0.042
APP-E0A91CCDD642,synthetic_identity,medium,0.866
APP-719265E76D7C,legitimate_clean,hard,0.093
APP-8A01B1774DAB,legitimate_clean,easy,0.0
APP-EF2F95A77B62,legitimate_clean,medium,0.0
APP-A823A5C2D044,legitimate_clean,easy,0.182
APP-417F49949001,synthetic_identity,medium,0.562
APP-09E03E8F9F03,legitimate_clean,easy,0.088
APP-F2F2949A7196,legitimate_clean,easy,0.056
APP-4258664020A9,legitimate_clean,medium,0.0
APP-13040A1F3E13,legitimate_clean,medium,0.0
APP-802CCB35857D,legitimate_clean,medium,0.0
APP-82842F50508C,legitimate_clean,easy,0.148
APP-7B66FE2837C9,legitimate_noisy,hard,0.085
APP-2C82332DB655,legitimate_clean,easy,0.031
APP-57D7DAD5201B,legitimate_clean,easy,0.065
APP-BF0B41E771B5,legitimate_noisy,medium,0.172
APP-AFF84A3B401F,legitimate_clean,easy,0.147
APP-8CBE7FD7D4D4,legitimate_clean,hard,0.054
APP-00C995530CFB,legitimate_noisy,medium,0.202
APP-1EF9480A0041,legitimate_clean,easy,0.071
APP-0985E6100405,legitimate_clean,easy,0.092
APP-3AACFF9DE90D,legitimate_clean,easy,0.103
APP-084D54A75870,legitimate_clean,easy,0.272
APP-8D0017F0CD77,legitimate_clean,easy,0.024
APP-71E2271DE6AF,legitimate_clean,medium,0.016
APP-D491476EA323,legitimate_clean,easy,0.07
APP-905F9CED41B4,legitimate_clean,easy,0.016
APP-3B0482C94A1F,legitimate_clean,easy,0.048
APP-D206DFCA245D,legitimate_clean,medium,0.055
APP-06E88A408552,legitimate_noisy,medium,0.153
APP-7D1FA915A899,legitimate_clean,easy,0.081
APP-205D6DBFE997,coordinated_attack,medium,0.704
APP-923954E3CEA0,legitimate_clean,easy,0.047
APP-C4BB3812D79E,legitimate_clean,easy,0.182
APP-8AD0D3AFFF4B,legitimate_clean,medium,0.144
APP-051D08D43BAB,legitimate_clean,easy,0.119
APP-4D4CC77DBBE1,legitimate_clean,medium,0.031
APP-AD55D61BBE3F,legitimate_clean,easy,0.045
APP-66133B06481B,legitimate_clean,easy,0.04
APP-C29154DD5DCB,coordinated_attack,medium,0.52
APP-CE3D91FB6119,legitimate_clean,easy,0.017
APP-9A22549D6693,legitimate_clean,easy,0.0
APP-8773609D52CC,coordinated_attack,hard,0.507
APP-749B42D30C5E,legitimate_clean,easy,0.074
APP-22B349FAEDF7,legitimate_clean,easy,0.059
APP-11842E0879DC,synthetic_identity,medium,0.591
APP-79DCD766BF8A,legitimate_clean,easy,0.032
APP-62FBFA4853DE,legitimate_clean,medium,0.149
APP-F3456D85D366,legitimate_clean,easy,0.091
APP-F0A2E2CE47C7,legitimate_clean,easy,0.001
APP-9DF439DB2574,legitimate_clean,easy,0.11
APP-F6DD9D911519,legitimate_noisy,hard,0.116
APP-6E5951544F9A,legitimate_clean,easy,0.009
APP-AD69E6003EC2,legitimate_clean,medium,0.014
APP-727EE244A4F0,legitimate_noisy,medium,0.074
APP-65A27F721D15,legitimate_clean,medium,0.135
APP-D458217A0EA3,legitimate_clean,medium,0.105
APP-F10391813EF1,legitimate_clean,hard,0.089
APP-C8B469E24FF1,legitimate_clean,easy,0.016
APP-92225CE6ADA5,legitimate_clean,medium,0.007
APP-78E75D2F501A,legitimate_clean,easy,0.001
APP-D9D0172CB2D0,synthetic_identity,medium,0.676
APP-C1B478D2BE67,legitimate_clean,medium,0.151
APP-507C85D45706,legitimate_clean,easy,0.05
APP-D927744C940B,legitimate_clean,medium,0.138
APP-C568FEF65E8F,legitimate_clean,easy,0.099
APP-9DAF96C28C52,synthetic_identity,medium,0.441
APP-E8AB9DEF5204,legitimate_clean,easy,0.09
APP-5444C188EA60,true_name_fraud,medium,0.353
APP-7CF797C14658,legitimate_clean,easy,0.0
APP-CBF9F020ED61,legitimate_clean,easy,0.066
APP-1228D0633DF6,legitimate_clean,easy,0.025
APP-1511099782FA,legitimate_noisy,medium,0.238
APP-DB415D7C5FFB,legitimate_clean,medium,0.073
APP-35D9BB8848BD,legitimate_clean,easy,0.0
APP-2CCD11FA053E,legitimate_clean,easy,0.034
APP-51F1BA64D4DA,legitimate_clean,easy,0.116
APP-BF53CA1498F3,legitimate_clean,easy,0.114
APP-3B248FD96951,legitimate_clean,easy,0.023
APP-88F55FE871AA,legitimate_noisy,hard,0.16
APP-FD4D8F28F573,legitimate_clean,easy,0.032
APP-6C28EA1CCDEB,true_name_fraud,hard,0.274
APP-2B523CDAA212,true_name_fraud,medium,0.396
APP-DA7724420AB2,true_name_fraud,medium,0.56
APP-3E4F57B3CBBE,legitimate_clean,medium,0.041
APP-116BD74BD408,legitimate_clean,easy,0.018
APP-A1839A26C789,legitimate_clean,easy,0.022
APP-4F077488B74F,legitimate_clean,easy,0.098
APP-DCC5ACB41BEF,legitimate_clean,easy,0.009
APP-1874310C7DB5,legitimate_clean,medium,0.049
APP-6E3331FB3075,legitimate_clean,easy,0.038
APP-FB165A7BF9EA,legitimate_clean,medium,0.063
APP-3251536F1DA1,legitimate_clean,easy,0.116
APP-4336E9CABFA6,legitimate_clean,easy,0.187
APP-6304F8AA949C,legitimate_noisy,hard,0.133
APP-4BE8A9BDD988,legitimate_noisy,medium,0.124
APP-64224B3633A7,legitimate_clean,easy,0.0
APP-FDC4E62BF74B,legitimate_clean,easy,0.088
APP-6D69DAD9AE47,legitimate_noisy,hard,0.147
APP-A18EAF1D9707,true_name_fraud,hard,0.37
APP-21DB24865ECE,legitimate_clean,easy,0.047
APP-F40191762115,legitimate_clean,easy,0.061
APP-405D00AB4BB1,legitimate_clean,easy,0.115
APP-9B8ADD2C3B4A,legitimate_clean,easy,0.066
APP-ED02637C220C,legitimate_clean,easy,0.0
APP-E1C98EC67AD3,legitimate_clean,easy,0.017
APP-463B5D9EFC1D,legitimate_clean,medium,0.071
APP-E0E8BC6A7A47,legitimate_clean,easy,0.024
APP-FA98C31C5554,legitimate_clean,easy,0.08
APP-BE533E8EBFDD,legitimate_noisy,medium,0.285
APP-6BF59B33103A,legitimate_clean,easy,0.094
APP-A6D4FB692CEA,legitimate_clean,easy,0.047
APP-B7560EB4401B,legitimate_clean,easy,0.0
APP-0A985EAB901A,legitimate_noisy,medium,0.066
APP-8803140D3521,legitimate_noisy,medium,0.319
APP-5C521DEAF210,legitimate_noisy,medium,0.131
APP-11EA583ADAD1,legitimate_clean,easy,0.1
APP-D5709554255E,synthetic_identity,medium,0.868
APP-D83B3B49BB6C,legitimate_clean,easy,0.141
APP-4BD4A53D081E,legitimate_clean,easy,0.008
