application_id,application_date,application_month,fraud_label,fraud_type,difficulty_level,generated_signal_score,age,annual_income,months_at_address,months_at_employer,num_prev_apps_same_device_7d,num_prev_apps_same_email_30d,num_prev_apps_same_phone_30d,num_prev_apps_same_address_30d,zip_ip_distance_proxy,application_hour,is_free_email_domain,document_uploaded,thin_file_flag,name_email_match_score,income_age_ratio,tenure_min,night_application_flag,high_device_velocity_flag,high_identity_reuse_flag,state,housing_status,ip_region,employer_industry
APP-F76FE7986745,2024-01-27,2024-01,0,legitimate_clean,easy,0.142,22,34000,28,26,0,0,0,0,0.052,9,1,1,0,0.479,1545.4545454545455,26,0,0,0,TX,own,TX,retail
APP-5393BAE5D633,2024-01-14,2024-01,0,legitimate_noisy,medium,0.114,22,27000,10,11,0,0,0,0,0.315,10,1,1,0,0.888,1227.2727272727273,10,0,0,0,NC,family,NC,hospitality
APP-0906ABD123D1,2024-08-27,2024-08,0,legitimate_clean,easy,0.0,27,163000,112,12,0,0,0,0,0.223,14,0,1,0,0.9,6037.037037037037,12,0,0,0,TN,own,TN,finance
APP-DC0712E3AA51,2024-06-25,2024-06,0,legitimate_clean,easy,0.016,35,46000,117,21,0,0,0,0,0.123,19,0,1,0,0.932,1314.2857142857142,21,0,0,0,TX,rent,TX,logistics
APP-119482B4B8E0,2024-08-12,2024-08,0,legitimate_noisy,medium,0.152,18,36000,18,12,1,0,0,0,0.455,13,0,1,0,0.937,2000.0,12,0,0,0,GA,family,GA,logistics
APP-910B3FBBEED8,2024-07-05,2024-07,0,legitimate_clean,easy,0.0,34,55000,62,31,0,0,0,0,0.202,12,0,1,0,0.911,1617.6470588235295,31,0,0,0,AZ,rent,AZ,logistics
APP-557C37EC9E97,2024-12-17,2024-12,0,legitimate_clean,easy,0.0,54,72000,111,26,0,0,0,0,0.073,10,0,1,0,0.863,1333.3333333333333,26,0,0,0,TX,own,TX,finance
APP-4213CE668010,2024-12-25,2024-12,0,legitimate_clean,medium,0.09,30,109000,59,55,0,0,0,0,0.155,7,1,1,0,0.913,3633.3333333333335,55,0,0,0,OH,rent,OH,technology
APP-636D5AEB0738,2024-11-16,2024-11,0,legitimate_clean,easy,0.0,29,54000,92,10,0,0,0,0,0.18,10,0,1,0,0.91,1862.0689655172414,10,0,0,0,NE,family,NE,logistics
APP-9664A47C2E28,2024-04-10,2024-04,0,legitimate_clean,easy,0.144,22,47000,65,77,0,0,0,0,0.212,8,1,0,0,0.873,2136.3636363636365,65,0,0,0,NC,own,NC,education
APP-171E2849C253,2024-06-13,2024-06,1,true_name_fraud,hard,0.221,47,88000,23,20,0,1,1,1,0.389,6,1,1,0,0.867,1872.340425531915,20,0,0,0,FL,own,FL,finance
APP-10833D1768E2,2024-08-21,2024-08,0,legitimate_noisy,medium,0.07,20,118000,24,10,0,0,0,1,0.234,15,0,1,0,0.469,5900.0,10,0,0,0,TX,rent,TX,finance
APP-6746B8DDAC17,2024-12-01,2024-12,0,legitimate_noisy,medium,0.025,56,26000,24,12,0,0,0,0,0.162,21,0,1,0,0.856,464.2857142857143,12,0,0,0,FL,rent,AZ,hospitality
APP-032D7325C4BE,2024-05-13,2024-05,0,legitimate_clean,medium,0.036,55,87000,41,47,0,0,0,0,0.219,8,0,1,0,0.474,1581.8181818181818,41,0,0,0,CA,own,CA,technology
APP-6EFB847A7584,2024-12-20,2024-12,0,legitimate_clean,easy,0.062,50,55000,60,76,0,0,0,0,0.045,5,1,1,0,0.881,1100.0,60,1,0,0,IN,own,IN,manufacturing
APP-B58389ED9D6E,2024-07-30,2024-07,0,legitimate_clean,easy,0.055,40,193000,113,96,0,0,0,0,0.067,22,1,1,0,0.455,4825.0,96,0,0,0,CA,rent,CA,finance
APP-1F230B596DA6,2024-05-29,2024-05,0,legitimate_clean,easy,0.026,54,36000,115,28,0,0,0,0,0.038,18,1,1,0,0.856,666.6666666666666,28,0,0,0,MN,own,MN,logistics
APP-EA3D8A029DDF,2024-06-27,2024-06,1,true_name_fraud,hard,0.23,39,53000,45,31,0,1,0,1,0.263,16,1,0,0,0.89,1358.974358974359,31,0,0,0,CA,own,CA,education
APP-74761D3D2B70,2024-06-29,2024-06,0,legitimate_clean,easy,0.051,54,66000,28,80,0,0,0,0,0.156,19,1,1,0,0.536,1222.2222222222222,28,0,0,0,TX,own,TX,manufacturing
APP-0DF98099D36F,2024-04-05,2024-04,0,legitimate_clean,easy,0.0,46,172000,64,21,0,0,0,0,0.031,17,0,1,0,0.516,3739.1304347826085,21,0,0,0,TN,rent,TN,finance
APP-46B5FC7CABF2,2024-12-02,2024-12,0,legitimate_clean,easy,0.0,35,121000,60,12,0,0,0,0,0.028,17,0,1,0,0.862,3457.1428571428573,12,0,0,0,MI,own,MI,technology
APP-2F90B7D72896,2024-02-22,2024-02,0,legitimate_clean,medium,0.099,20,84000,56,96,0,0,0,0,0.242,16,0,1,0,0.448,4200.0,56,0,0,0,MD,rent,MD,technology
APP-62EBA4F2FC53,2024-06-09,2024-06,0,legitimate_clean,easy,0.0,41,152000,107,68,0,0,0,0,0.115,11,0,1,0,0.862,3707.317073170732,68,0,0,0,MD,own,MD,technology
APP-43093F57E7A9,2024-06-17,2024-06,0,legitimate_clean,medium,0.139,39,69000,75,29,0,0,1,0,0.119,23,1,1,0,0.434,1769.2307692307693,29,0,0,0,CA,family,CA,logistics
APP-E3287AD3D9C5,2024-08-05,2024-08,0,legitimate_clean,medium,0.035,28,129000,82,69,0,0,0,0,0.034,15,0,1,0,0.874,4607.142857142857,69,0,0,0,FL,family,FL,healthcare
APP-D35C2CC6DCB9,2024-01-07,2024-01,1,synthetic_identity,medium,0.746,51,42000,3,0,1,2,2,3,0.641,13,1,1,0,0.0,823.5294117647059,0,0,0,1,TX,family,GA,logistics
APP-9DDC5B13DD11,2024-12-21,2024-12,0,legitimate_clean,easy,0.0,47,73000,18,71,0,0,0,0,0.158,12,0,1,0,0.854,1553.1914893617022,18,0,0,0,MO,own,MO,healthcare
APP-95094BB44BDD,2024-08-03,2024-08,0,legitimate_clean,easy,0.037,28,57000,92,30,0,0,0,0,0.032,8,0,1,0,0.471,2035.7142857142858,30,0,0,0,AZ,own,AZ,manufacturing
APP-5DE975A07F24,2024-04-22,2024-04,0,legitimate_clean,hard,0.101,28,58000,96,13,0,0,0,1,0.176,20,1,1,0,0.918,2071.4285714285716,13,0,0,0,PA,rent,IL,education
APP-7AF3C1DA8294,2024-06-19,2024-06,0,legitimate_clean,hard,0.1,49,138000,109,37,1,0,0,0,0.254,20,0,1,0,0.877,2816.326530612245,37,0,0,0,CA,own,CA,healthcare
APP-2B41461C76CB,2024-06-15,2024-06,1,synthetic_identity,hard,0.411,34,74000,8,1,2,1,0,2,0.313,22,0,1,1,0.538,2176.470588235294,1,0,0,1,GA,rent,MN,finance
APP-97D183A5A5C2,2024-12-29,2024-12,0,legitimate_clean,easy,0.018,21,63000,89,80,0,0,0,0,0.162,20,1,1,0,0.929,3000.0,80,0,0,0,CA,rent,CA,finance
APP-08DB203B350A,2024-12-07,2024-12,0,legitimate_clean,easy,0.088,38,54000,43,83,0,0,0,0,0.282,8,0,1,0,0.483,1421.0526315789473,43,0,0,0,NC,own,NC,insurance
APP-5FE5D76124BE,2024-08-14,2024-08,0,legitimate_clean,easy,0.204,55,66000,115,21,1,0,0,0,0.083,5,1,1,0,0.884,1200.0,21,1,0,0,TN,family,TN,technology
APP-53CAE28E506E,2024-12-15,2024-12,0,legitimate_noisy,medium,0.106,43,164000,15,13,0,0,0,0,0.213,12,1,1,0,0.129,3813.953488372093,13,0,0,0,WI,other,WI,finance
APP-0DB7C13B7100,2024-02-20,2024-02,0,legitimate_clean,medium,0.059,49,167000,30,68,0,0,0,0,0.075,11,1,1,0,0.911,3408.1632653061224,30,0,0,0,NV,own,IN,technology
APP-1C51F6ADCF86,2024-02-03,2024-02,0,legitimate_clean,easy,0.178,41,114000,77,74,0,0,0,0,0.02,14,0,1,1,0.491,2780.487804878049,74,0,0,0,FL,rent,FL,healthcare
APP-B84A33CA4280,2024-11-05,2024-11,0,legitimate_noisy,medium,0.018,49,47000,13,18,0,0,0,0,0.188,11,0,1,0,0.891,959.1836734693877,13,0,0,0,TN,family,TN,hospitality
APP-C0735B15AB15,2024-07-02,2024-07,0,legitimate_clean,hard,0.002,36,60000,74,87,0,0,0,0,0.07,19,0,1,0,0.528,1666.6666666666667,74,0,0,0,AZ,rent,AZ,retail
APP-61279709EFB9,2024-05-24,2024-05,0,legitimate_clean,easy,0.0,41,159000,45,8,0,0,0,0,0.236,14,0,1,0,0.87,3878.048780487805,8,0,0,0,CA,rent,CA,technology
APP-A970739AB2AA,2024-07-12,2024-07,0,legitimate_clean,easy,0.0,27,36000,69,65,0,0,0,0,0.133,9,0,1,0,0.501,1333.3333333333333,65,0,0,0,PA,own,PA,hospitality
APP-E79CDB1F46DA,2024-06-01,2024-06,0,legitimate_clean,medium,0.032,20,73000,76,18,0,0,0,0,0.241,22,0,1,0,0.487,3650.0,18,0,0,0,NC,own,NC,healthcare
APP-FF3CB85B3C75,2024-12-20,2024-12,0,legitimate_clean,easy,0.03,18,49000,77,58,0,0,0,0,0.19,4,0,1,0,0.85,2722.222222222222,58,1,0,0,TX,own,TX,manufacturing
APP-29736BC72FA4,2024-01-08,2024-01,0,legitimate_clean,easy,0.0,39,53000,105,65,0,0,0,0,0.251,9,0,1,0,0.887,1358.974358974359,65,0,0,0,OR,family,OR,logistics
APP-150117A27F1B,2024-08-02,2024-08,1,true_name_fraud,medium,0.308,18,130000,39,19,1,1,1,2,0.484,11,0,1,0,0.518,7222.222222222223,19,0,0,1,OH,rent,WA,finance
APP-3EC3947EC0E9,2024-08-31,2024-08,0,legitimate_clean,easy,0.037,46,82000,119,52,0,0,0,0,0.029,13,0,1,0,0.875,1782.608695652174,52,0,0,0,TN,own,TN,insurance
APP-4536F4C97CB5,2024-02-20,2024-02,0,legitimate_clean,easy,0.021,41,110000,76,44,0,0,0,0,0.151,14,1,1,0,0.534,2682.9268292682927,44,0,0,0,AZ,rent,AZ,technology
APP-A467DCD22C9B,2024-09-09,2024-09,1,true_name_fraud,hard,0.073,46,42000,34,22,0,1,0,0,0.144,20,0,1,0,0.905,913.0434782608696,22,0,0,0,FL,family,IL,retail
APP-B6DC64F4C84A,2024-01-25,2024-01,0,legitimate_clean,easy,0.02,35,89000,106,67,0,0,0,1,0.226,14,0,1,0,0.94,2542.8571428571427,67,0,0,0,KY,family,KY,education
APP-458E8F1A0E10,2024-02-09,2024-02,1,true_name_fraud,medium,0.238,55,72000,46,11,2,1,1,1,0.393,9,0,1,0,0.898,1309.090909090909,11,0,0,0,WA,rent,TX,education
APP-04789DF5A104,2024-09-02,2024-09,0,legitimate_clean,easy,0.0,20,20000,69,86,0,0,0,0,0.13,15,0,1,0,0.53,1000.0,69,0,0,0,TX,rent,TX,retail
APP-1EFAFA98F25B,2024-06-26,2024-06,0,legitimate_clean,easy,0.048,50,43000,86,9,0,0,0,0,0.271,19,1,1,0,0.895,860.0,9,0,0,0,TN,family,TN,retail
APP-5F83A1D0F438,2024-03-08,2024-03,0,legitimate_noisy,hard,0.126,20,52000,2,15,0,0,0,0,0.135,10,1,1,0,0.943,2600.0,2,0,0,0,MO,family,TX,education
APP-CF858A480F20,2024-10-20,2024-10,0,legitimate_clean,easy,0.044,54,38000,88,17,0,0,0,0,0.263,18,0,1,0,0.526,703.7037037037037,17,0,0,0,OH,rent,OH,hospitality
